Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.250000, Image_name, 3.tif, PSNR, 34.215141, SSIM, 0.927125 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.250000, Image_name, 4.tif, PSNR, 41.168197, SSIM, 0.968143 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.250000, Image_name, 5.tif, PSNR, 38.538301, SSIM, 0.940024 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.250000, Image_name, 6.tif, PSNR, 38.058313, SSIM, 0.963913 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.250000, Image_name, 7.tif, PSNR, 36.766882, SSIM, 0.968992 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.250000, Image_name, 8.tif, PSNR, 38.566018, SSIM, 0.958831 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 1.tif, PSNR, 36.094272, SSIM, 0.962911 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 2.tif, PSNR, 38.055688, SSIM, 0.965270 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 3.tif, PSNR, 36.247403, SSIM, 0.947741 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 4.tif, PSNR, 42.222901, SSIM, 0.974252 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 5.tif, PSNR, 39.284848, SSIM, 0.948116 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 6.tif, PSNR, 39.297209, SSIM, 0.971234 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 7.tif, PSNR, 38.308648, SSIM, 0.975472 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.300000, Image_name, 8.tif, PSNR, 39.655064, SSIM, 0.964762 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 1.tif, PSNR, 25.522430, SSIM, 0.745058 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 2.tif, PSNR, 27.827681, SSIM, 0.809029 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 3.tif, PSNR, 27.042935, SSIM, 0.817292 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 4.tif, PSNR, 34.699907, SSIM, 0.913112 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 5.tif, PSNR, 33.547469, SSIM, 0.867170 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 6.tif, PSNR, 28.826656, SSIM, 0.852973 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 7.tif, PSNR, 26.724284, SSIM, 0.856791 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 8.tif, PSNR, 30.743340, SSIM, 0.880094 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 1.tif, PSNR, 29.589810, SSIM, 0.884504 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 31.733726, SSIM, 0.901629 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 30.101320, SSIM, 0.877739 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 37.650392, SSIM, 0.943992 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 35.898517, SSIM, 0.903575 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 32.815065, SSIM, 0.920320 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 30.778007, SSIM, 0.927283 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 34.328546, SSIM, 0.923991 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 1.tif, PSNR, 32.649235, SSIM, 0.935549 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 2.tif, PSNR, 34.558289, SSIM, 0.940025 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 3.tif, PSNR, 32.244747, SSIM, 0.910801 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 4.tif, PSNR, 38.987382, SSIM, 0.954635 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 5.tif, PSNR, 37.252557, SSIM, 0.925008 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 6.tif, PSNR, 35.317053, SSIM, 0.946927 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 7.tif, PSNR, 33.867964, SSIM, 0.954273 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 8.tif, PSNR, 36.405930, SSIM, 0.943406 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 1.tif, PSNR, 34.562225, SSIM, 0.953700 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 2.tif, PSNR, 35.823414, SSIM, 0.950055 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 3.tif, PSNR, 34.068581, SSIM, 0.933400 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 4.tif, PSNR, 40.497532, SSIM, 0.965488 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 5.tif, PSNR, 37.943786, SSIM, 0.935672 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 6.tif, PSNR, 36.931652, SSIM, 0.958022 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 7.tif, PSNR, 35.753039, SSIM, 0.964717 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 8.tif, PSNR, 37.633482, SSIM, 0.952888 
