RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00228.bmp, 30.052334, 0.719337 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00232.bmp, 25.944319, 0.695384 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00242.bmp, 25.093745, 0.510350 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00244.bmp, 21.179467, 0.440479 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00246.bmp, 32.955610, 0.851415 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00249.bmp, 22.982431, 0.536973 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00258.bmp, 26.341053, 0.733114 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00415.bmp, 18.077972, 0.416872 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00471.bmp, 25.852604, 0.610247 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00559.bmp, 23.470244, 0.542891 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00560.bmp, 22.191002, 0.493033 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00733.bmp, 20.213086, 0.414250 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01279.bmp, 20.096620, 0.442887 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01790.bmp, 20.078622, 0.462364 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03133.bmp, 24.084234, 0.556087 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03349.bmp, 22.651369, 0.493679 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03407.bmp, 22.978378, 0.510365 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03784.bmp, 21.844439, 0.459999 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04702.bmp, 21.113579, 0.506069 
