RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00790.bmp, 23.169441, 0.579663 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00880.bmp, 18.826983, 0.326150 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00892.bmp, 17.250906, 0.371292 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00986.bmp, 26.580170, 0.701648 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01544.bmp, 16.950859, 0.403730 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01594.bmp, 20.186628, 0.372914 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03266.bmp, 27.099068, 0.675456 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03275.bmp, 21.535075, 0.525418 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03499.bmp, 28.092491, 0.700759 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03906.bmp, 25.034935, 0.570736 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04076.bmp, 19.678319, 0.368923 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04519.bmp, 17.570639, 0.342477 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04735.bmp, 27.230810, 0.725764 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00170.bmp, 22.381441, 0.484474 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00228.bmp, 27.811973, 0.650661 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00232.bmp, 24.508945, 0.611201 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00242.bmp, 24.142961, 0.452194 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00244.bmp, 19.543199, 0.336671 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00246.bmp, 26.614751, 0.666699 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00249.bmp, 19.771247, 0.395027 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00258.bmp, 23.206137, 0.549221 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00415.bmp, 18.121468, 0.398868 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00471.bmp, 23.323487, 0.487388 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00559.bmp, 22.645507, 0.507933 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00560.bmp, 20.345692, 0.413441 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00733.bmp, 18.134715, 0.288623 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01279.bmp, 19.191119, 0.391889 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01790.bmp, 17.114528, 0.307475 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03133.bmp, 22.276418, 0.475386 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03349.bmp, 21.610182, 0.450051 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03407.bmp, 21.356391, 0.412043 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03784.bmp, 20.485823, 0.387611 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04702.bmp, 19.229407, 0.410979 
